district,state,year,month,ndvi
Karnal,Haryana,2021,1,0.553
Kurukshetra,Haryana,2021,1,0.5548
Mahendragarh,Haryana,2021,1,0.3724
Sonepat,Haryana,2021,1,0.5066
Kaithal,Haryana,2021,1,0.4834
Panipat,Haryana,2021,1,0.5146
Rewari,Haryana,2021,1,0.3803
Yamuna Nagar,Haryana,2021,1,0.4947
Bharatpur,Rajasthan,2021,1,0.46
Dhaulpur,Rajasthan,2021,1,0.4512
Purba Singhbhum,Jharkhand,2021,1,0.296
Gorakhpur,Uttar Pradesh,2021,1,0.424
Maharajganj,Uttar Pradesh,2021,1,0.3662
Kota,Rajasthan,2021,1,0.5218
Baran,Rajasthan,2021,1,0.542
East Khasi Hills,Meghalaya,2021,1,0.581
West Garo Hills,Meghalaya,2021,1,0.5777
Ri-Bhoi,Meghalaya,2021,1,0.5809
South Garo Hills,Meghalaya,2021,1,0.7426
Patiala,Punjab,2021,1,0.6243
Rupnagar,Punjab,2021,1,0.6332
Fatehgarh Sahib,Punjab,2021,1,0.6616
Dakshin Dinajpur,West Bengal,2021,1,0.4206
Uttar Dinajpur,West Bengal,2021,1,0.2945
Ambala,Haryana,2021,1,0.557
Panchkula,Haryana,2021,1,0.4488
Deoria,Uttar Pradesh,2021,1,0.4074
Kushinagar,Uttar Pradesh,2021,1,0.0
Bathinda,Punjab,2021,1,0.6903
Hoshiarpur,Punjab,2021,1,0.6365
Mansa,Punjab,2021,1,0.6968
Muktsar,Punjab,2021,1,0.7182
Nawan Shehar,Punjab,2021,1,0.6928
North Tripura,Tripura,2021,1,0.6125
South Tripura,Tripura,2021,1,0.6074
Dhalai,Tripura,2021,1,0.6977
Hamirpur,Uttar Pradesh,2021,1,0.5188
Mahoba,Uttar Pradesh,2021,1,0.4928
Faridkot,Punjab,2021,1,0.7067
Moga,Punjab,2021,1,0.7345
Jaipur,Rajasthan,2021,1,0.3616
Udaipur,Rajasthan,2021,1,0.4372
Dausa,Rajasthan,2021,1,0.4542
Rajsamand,Rajasthan,2021,1,0.3692
Bahraich,Uttar Pradesh,2021,1,0.4062
Faizabad,Uttar Pradesh,2021,1,0.3636
Ambedkar Nagar,Uttar Pradesh,2021,1,0.4575
Sant Ravi Das Nagar,Uttar Pradesh,2021,1,0.3716
Shravasti,Uttar Pradesh,2021,1,0.4503
Naini Tal,Uttarakhand,2021,1,0.6051
Udham Singh Nagar,Uttarakhand,2021,1,0.4007
East Imphal,Manipur,2021,1,0.4508
West Imphal,Manipur,2021,1,0.2818
Sawai Madhopur,Rajasthan,2021,1,0.5077
Karauli,Rajasthan,2021,1,0.3914
Aligarh,Uttar Pradesh,2021,1,0.5208
