district,year,month,ndvi,ndvi_baseline,anomaly_pct
Thoothukudi,2020,1,0.4236,0.4731499999999999,-10.47
Coimbatore,2020,1,0.4385,0.472775,-7.25
Dharmapuri,2020,1,0.4841,0.49445,-2.09
Virudhunagar,2020,1,0.4433,0.503275,-11.92
Kanniyakumari,2020,1,0.6697,0.663225,0.98
Nilgiris,2020,1,0.6776,0.63945,5.97
Erode,2020,1,0.4559,0.51135,-10.84
Pudukkottai,2020,1,0.4786,0.4848,-1.28
Dindigul,2020,1,0.5304,0.52995,0.08
Ramanathapuram,2020,1,0.4151,0.427625,-2.93
Salem,2020,1,0.5178,0.506475,2.24
Thanjavur,2020,1,0.5634,0.5016,12.32
Sivaganga,2020,1,0.4703,0.444175,5.88
Tiruchchirappalli,2020,1,0.5345,0.478525,11.7
Tirunelveli Kattabo,2020,1,0.4552,0.4692,-2.98
Ariyalur,2020,1,0.563,0.477925,17.8
Chennai,2020,1,0.2776,0.17355,59.95
Cuddalore,2020,1,0.5362,0.461975,16.07
Kancheepuram,2020,1,0.4941,0.395775,24.84
Karur,2020,1,0.4401,0.4509,-2.4
Madurai,2020,1,0.4748,0.50405,-5.8
Nagapattinam,2020,1,0.4878,0.4681,4.21
Namakkal,2020,1,0.4878,0.479375,1.76
Perambalur,2020,1,0.5447,0.450625,20.88
Theni,2020,1,0.4496,0.5098750000000001,-11.82
Thiruvallur,2020,1,0.4681,0.4298,8.91
Tiruvannamalai,2020,1,0.5373,0.48275,11.3
Vellore,2020,1,0.5466,0.5164,5.85
Villupuram,2020,1,0.5282,0.481225,9.76
Thoothukudi,2020,4,0.2001,0.25285,-20.86
Coimbatore,2020,4,0.3597,0.399275,-9.91
Dharmapuri,2020,4,0.3043,0.351025,-13.31
Virudhunagar,2020,4,0.2417,0.2985,-19.03
Kanniyakumari,2020,4,0.4786,0.369025,29.69
Nilgiris,2020,4,0.5831,0.5813,0.31
Erode,2020,4,0.332,0.375875,-11.67
Pudukkottai,2020,4,0.2382,0.2958,-19.47
Dindigul,2020,4,0.3542,0.408525,-13.3
Ramanathapuram,2020,4,0.2262,0.2497,-9.41
Salem,2020,4,0.3179,0.37695,-15.67
Thanjavur,2020,4,0.2994,0.335225,-10.69
Sivaganga,2020,4,0.2463,0.303225,-18.77
Tiruchchirappalli,2020,4,0.2883,0.3382,-14.75
Tirunelveli Kattabo,2020,4,0.3147,0.3329999999999999,-5.5
Ariyalur,2020,4,0.273,0.3109,-12.19
Chennai,2020,4,0.2768,0.240825,14.94
Cuddalore,2020,4,0.2822,0.32045,-11.94
Kancheepuram,2020,4,0.3063,0.294075,4.16
Karur,2020,4,0.2368,0.280175,-15.48
Madurai,2020,4,0.2831,0.346775,-18.36
Nagapattinam,2020,4,0.2541,0.290275,-12.46
Namakkal,2020,4,0.3116,0.3531499999999999,-11.77
Perambalur,2020,4,0.2806,0.32915,-14.75
Theni,2020,4,0.4311,0.470725,-8.42
Thiruvallur,2020,4,0.3288,0.33675,-2.36
Tiruvannamalai,2020,4,0.3294,0.3495,-5.75
Vellore,2020,4,0.3009,0.34125,-11.82
Villupuram,2020,4,0.3107,0.343625,-9.58
Thoothukudi,2020,7,0.2242,0.19155,17.05
Coimbatore,2020,7,0.347,0.08675,300.0
Dharmapuri,2020,7,0.3852,0.208225,84.99
Virudhunagar,2020,7,0.2998,0.2682,11.78
Kanniyakumari,2020,7,0.7311,0.4614749999999999,58.43
Nilgiris,2020,7,0.3029,0.075725,300.0
Erode,2020,7,0.4157,0.103925,300.0
Pudukkottai,2020,7,0.3939,0.37705,4.47
Dindigul,2020,7,0.4819,0.120475,300.0
Ramanathapuram,2020,7,0.2721,0.2653999999999999,2.52
Salem,2020,7,0.4862,0.247,96.84
Thanjavur,2020,7,0.4296,0.4125,4.15
Sivaganga,2020,7,0.3618,0.343125,5.44
Tiruchchirappalli,2020,7,0.3908,0.342275,14.18
Tirunelveli Kattabo,2020,7,0.3724,0.243525,52.92
Ariyalur,2020,7,0.3127,0.362475,-13.73
Cuddalore,2020,7,0.3675,0.39685,-7.4
Kancheepuram,2020,7,0.6962,0.506175,37.54
Karur,2020,7,0.3006,0.1578999999999999,90.37
Madurai,2020,7,0.4199,0.368925,13.82
Namakkal,2020,7,0.4458,0.236925,88.16
Perambalur,2020,7,0.3401,0.2519,35.01
Theni,2020,7,0.5146,0.12865,300.0
Thiruvallur,2020,7,0.5672,0.475725,19.23
Tiruvannamalai,2020,7,0.5295,0.3723499999999999,42.2
Vellore,2020,7,0.5499,0.40025,37.39
Villupuram,2020,7,0.4554,0.4544249999999999,0.21
Thoothukudi,2020,10,0.2437,0.214625,13.55
Coimbatore,2020,10,0.4989,0.237875,109.73
Dharmapuri,2020,10,0.6496,0.46565,39.5
Virudhunagar,2020,10,0.3914,0.194575,101.16
Kanniyakumari,2020,10,0.7139,0.4174,71.03
Nilgiris,2020,10,0.7077,0.5840000000000001,21.18
Erode,2020,10,0.5248,0.515675,1.77
Pudukkottai,2020,10,0.4208,0.409375,2.79
Dindigul,2020,10,0.5568,0.534525,4.17
Ramanathapuram,2020,10,0.2623,0.194125,35.12
Salem,2020,10,0.6278,0.5622,11.67
Thanjavur,2020,10,0.43,0.4784,-10.12
Sivaganga,2020,10,0.4477,0.340225,31.59
Tiruchchirappalli,2020,10,0.5133,0.513425,-0.02
Tirunelveli Kattabo,2020,10,0.4222,0.271675,55.41
Ariyalur,2020,10,0.4665,0.50435,-7.5
Chennai,2020,10,0.32,0.181525,76.28
Cuddalore,2020,10,0.4406,0.472475,-6.75
Kancheepuram,2020,10,0.532,0.383875,38.59
Karur,2020,10,0.4027,0.411625,-2.17
Madurai,2020,10,0.5591,0.40295,38.75
Nagapattinam,2020,10,0.4009,0.435525,-7.95
