district,year,month,ndvi
Thoothukudi,2020,1,0.4236
Coimbatore,2020,1,0.4385
Dharmapuri,2020,1,0.4841
Virudhunagar,2020,1,0.4433
Kanniyakumari,2020,1,0.6697
Nilgiris,2020,1,0.6776
Erode,2020,1,0.4559
Pudukkottai,2020,1,0.4786
Dindigul,2020,1,0.5304
Ramanathapuram,2020,1,0.4151
Salem,2020,1,0.5178
Thanjavur,2020,1,0.5634
Sivaganga,2020,1,0.4703
Tiruchchirappalli,2020,1,0.5345
Tirunelveli Kattabo,2020,1,0.4552
Ariyalur,2020,1,0.563
Chennai,2020,1,0.2776
Cuddalore,2020,1,0.5362
Kancheepuram,2020,1,0.4941
Karur,2020,1,0.4401
Madurai,2020,1,0.4748
Nagapattinam,2020,1,0.4878
Namakkal,2020,1,0.4878
Perambalur,2020,1,0.5447
Theni,2020,1,0.4496
Thiruvallur,2020,1,0.4681
Tiruvannamalai,2020,1,0.5373
Vellore,2020,1,0.5466
Villupuram,2020,1,0.5282
Thoothukudi,2020,4,0.2001
Coimbatore,2020,4,0.3597
Dharmapuri,2020,4,0.3043
Virudhunagar,2020,4,0.2417
Kanniyakumari,2020,4,0.4786
Nilgiris,2020,4,0.5831
Erode,2020,4,0.332
Pudukkottai,2020,4,0.2382
Dindigul,2020,4,0.3542
Ramanathapuram,2020,4,0.2262
Salem,2020,4,0.3179
Thanjavur,2020,4,0.2994
Sivaganga,2020,4,0.2463
Tiruchchirappalli,2020,4,0.2883
Tirunelveli Kattabo,2020,4,0.3147
Ariyalur,2020,4,0.273
Chennai,2020,4,0.2768
Cuddalore,2020,4,0.2822
Kancheepuram,2020,4,0.3063
Karur,2020,4,0.2368
Madurai,2020,4,0.2831
Nagapattinam,2020,4,0.2541
Namakkal,2020,4,0.3116
Perambalur,2020,4,0.2806
Theni,2020,4,0.4311
Thiruvallur,2020,4,0.3288
Tiruvannamalai,2020,4,0.3294
Vellore,2020,4,0.3009
Villupuram,2020,4,0.3107
Thoothukudi,2020,7,0.2242
Coimbatore,2020,7,0.347
Dharmapuri,2020,7,0.3852
Virudhunagar,2020,7,0.2998
Kanniyakumari,2020,7,0.7311
Nilgiris,2020,7,0.3029
Erode,2020,7,0.4157
Pudukkottai,2020,7,0.3939
Dindigul,2020,7,0.4819
Ramanathapuram,2020,7,0.2721
Salem,2020,7,0.4862
Thanjavur,2020,7,0.4296
Sivaganga,2020,7,0.3618
Tiruchchirappalli,2020,7,0.3908
Tirunelveli Kattabo,2020,7,0.3724
Ariyalur,2020,7,0.3127
Chennai,2020,7,0.0
Cuddalore,2020,7,0.3675
Kancheepuram,2020,7,0.6962
Karur,2020,7,0.3006
Madurai,2020,7,0.4199
Nagapattinam,2020,7,0.0
Namakkal,2020,7,0.4458
Perambalur,2020,7,0.3401
Theni,2020,7,0.5146
Thiruvallur,2020,7,0.5672
Tiruvannamalai,2020,7,0.5295
Vellore,2020,7,0.5499
Villupuram,2020,7,0.4554
Thoothukudi,2020,10,0.2437
Coimbatore,2020,10,0.4989
Dharmapuri,2020,10,0.6496
Virudhunagar,2020,10,0.3914
Kanniyakumari,2020,10,0.7139
Nilgiris,2020,10,0.7077
Erode,2020,10,0.5248
Pudukkottai,2020,10,0.4208
Dindigul,2020,10,0.5568
Ramanathapuram,2020,10,0.2623
Salem,2020,10,0.6278
Thanjavur,2020,10,0.43
Sivaganga,2020,10,0.4477
Tiruchchirappalli,2020,10,0.5133
Tirunelveli Kattabo,2020,10,0.4222
Ariyalur,2020,10,0.4665
Chennai,2020,10,0.32
Cuddalore,2020,10,0.4406
Kancheepuram,2020,10,0.532
Karur,2020,10,0.4027
Madurai,2020,10,0.5591
Nagapattinam,2020,10,0.4009
Namakkal,2020,10,0.5298
Perambalur,2020,10,0.5954
Theni,2020,10,0.6086
Thiruvallur,2020,10,0.5205
Tiruvannamalai,2020,10,0.5362
Vellore,2020,10,0.5662
Villupuram,2020,10,0.5409
Thoothukudi,2021,1,0.5588
Coimbatore,2021,1,0.4534
Dharmapuri,2021,1,0.514
Virudhunagar,2021,1,0.5167
Kanniyakumari,2021,1,0.7036
Nilgiris,2021,1,0.6541
Erode,2021,1,0.5685
Pudukkottai,2021,1,0.5107
Dindigul,2021,1,0.5242
Ramanathapuram,2021,1,0.4236
Salem,2021,1,0.4937
Thanjavur,2021,1,0.3213
Sivaganga,2021,1,0.4247
Tiruchchirappalli,2021,1,0.3844
Tirunelveli Kattabo,2021,1,0.435
Ariyalur,2021,1,0.332
Chennai,2021,1,0.0372
Cuddalore,2021,1,0.3527
Kancheepuram,2021,1,0.3473
Karur,2021,1,0.4308
Madurai,2021,1,0.4999
Nagapattinam,2021,1,0.3305
Namakkal,2021,1,0.4941
Perambalur,2021,1,0.3135
Theni,2021,1,0.4334
Thiruvallur,2021,1,0.4194
Tiruvannamalai,2021,1,0.4566
Vellore,2021,1,0.4774
Villupuram,2021,1,0.4319
Thoothukudi,2021,4,0.3223
Coimbatore,2021,4,0.3744
Dharmapuri,2021,4,0.312
Virudhunagar,2021,4,0.3439
Kanniyakumari,2021,4,0.4693
Nilgiris,2021,4,0.5741
Erode,2021,4,0.3444
Pudukkottai,2021,4,0.2878
Dindigul,2021,4,0.373
Ramanathapuram,2021,4,0.2529
Salem,2021,4,0.3283
Thanjavur,2021,4,0.3018
Sivaganga,2021,4,0.3057
Tiruchchirappalli,2021,4,0.2972
Tirunelveli Kattabo,2021,4,0.4291
Ariyalur,2021,4,0.2966
Chennai,2021,4,0.1884
Cuddalore,2021,4,0.2806
Kancheepuram,2021,4,0.2142
Karur,2021,4,0.2419
Madurai,2021,4,0.3461
Nagapattinam,2021,4,0.2648
Namakkal,2021,4,0.2964
Perambalur,2021,4,0.3195
Theni,2021,4,0.5046
Thiruvallur,2021,4,0.258
Tiruvannamalai,2021,4,0.3483
Vellore,2021,4,0.314
Villupuram,2021,4,0.3177
Thoothukudi,2021,7,0.2791
Coimbatore,2021,7,0.0
Dharmapuri,2021,7,0.4477
Virudhunagar,2021,7,0.29
Kanniyakumari,2021,7,0.6933
Nilgiris,2021,7,0.0
Erode,2021,7,0.0
Pudukkottai,2021,7,0.3065
Dindigul,2021,7,0.0
Ramanathapuram,2021,7,0.2708
Salem,2021,7,0.5018
Thanjavur,2021,7,0.4362
Sivaganga,2021,7,0.3283
