district,year,month,rainfall_mm
Thoothukudi,2020,1,5.55
Coimbatore,2020,1,8.76
Dharmapuri,2020,1,9.88
Virudhunagar,2020,1,7.65
Kanniyakumari,2020,1,7.57
Nilgiris,2020,1,14.96
Erode,2020,1,8.09
Pudukkottai,2020,1,9.65
Dindigul,2020,1,9.55
Ramanathapuram,2020,1,11.96
Salem,2020,1,11.79
Thanjavur,2020,1,12.76
Sivaganga,2020,1,9.1
Tiruchchirappalli,2020,1,11.24
Tirunelveli Kattabo,2020,1,10.63
Ariyalur,2020,1,19.22
Chennai,2020,1,26.64
Cuddalore,2020,1,24.3
Kancheepuram,2020,1,37.69
Karur,2020,1,6.96
Madurai,2020,1,4.96
Nagapattinam,2020,1,19.43
Namakkal,2020,1,11.12
Perambalur,2020,1,17.04
Theni,2020,1,12.59
Thiruvallur,2020,1,35.94
Tiruvannamalai,2020,1,17.32
Vellore,2020,1,20.43
Villupuram,2020,1,26.72
Thoothukudi,2020,4,32.3
Coimbatore,2020,4,39.87
Dharmapuri,2020,4,32.85
Virudhunagar,2020,4,42.52
Kanniyakumari,2020,4,53.8
Nilgiris,2020,4,96.28
Erode,2020,4,42.37
Pudukkottai,2020,4,12.19
Dindigul,2020,4,39.44
Ramanathapuram,2020,4,16.82
Salem,2020,4,30.37
Thanjavur,2020,4,7.64
Sivaganga,2020,4,17.3
Tiruchchirappalli,2020,4,12.92
Tirunelveli Kattabo,2020,4,53.32
Ariyalur,2020,4,6.61
Chennai,2020,4,18.12
Cuddalore,2020,4,11.02
Kancheepuram,2020,4,17.1
Karur,2020,4,15.17
Madurai,2020,4,29.95
Nagapattinam,2020,4,9.13
Namakkal,2020,4,22.58
Perambalur,2020,4,14.88
Theni,2020,4,65.07
Thiruvallur,2020,4,27.61
Tiruvannamalai,2020,4,26.27
Vellore,2020,4,33.44
Villupuram,2020,4,22.16
Thoothukudi,2020,7,19.43
Coimbatore,2020,7,119.37
Dharmapuri,2020,7,147.76
Virudhunagar,2020,7,119.83
Kanniyakumari,2020,7,86.31
Nilgiris,2020,7,283.23
Erode,2020,7,27.7
Pudukkottai,2020,7,268.92
Dindigul,2020,7,181.13
Ramanathapuram,2020,7,2.23
Salem,2020,7,163.9
Thanjavur,2020,7,123.0
Sivaganga,2020,7,197.56
